㐀	qiū
㓖	bì
㓗	jié
㓘	sù
㓚	gōng
㓜	yòu
㓝	xíng
㓞	qià
㓟	pí
㓠	diàn diǎn
㓡	fǔ guā
㓢	luò
㓣	qià gē
㓤	qià
㓥	tāng
㓦	bāi
㓧	gān
㓨	cí
㓩	xuān jiē
㓪	lǎng
㓭	shé
㓯	lí
㓰	huà
㓱	tóu shū
㓲	piān
㓳	dī
㓴	ruǎn
㓵	è
㓶	qiè
㓷	yì
㓸	zhuō dōu
㓹	ruì cuì jì
㓺	jiān qián
㓼	chì
㓽	chóng
㓾	xī chí
㔀	lüè lvè
㔁	dēng
㔂	lín
㔃	jué xuē
㔄	sù
㔅	xiào
㔆	zàn
㔉	zhǔ
㔊	zhǎn dǎn
㔋	jiān lán
㔌	zòu cǒu
㔍	chuā zhá
㔎	xiè
㔏	lì luǒ
㔑	chì
㔒	xí
㔓	jiǎn
㔕	jí
㔗	fèi bèi fú
㔘	chù
㔙	bēng
㔚	jié
㔜	bá
㔝	liǎng liáng
㔞	kuài
㔠	xiā hé
㔡	biē
㔢	jué xuē
㔣	léi
㔤	xìn
㔥	bài pí
㔦	yǎng
㔧	lǜ
㔨	bèi
㔩	è
㔪	lǔ
㔭	chè
㔮	nuó
㔯	xuán suǎn
㔰	héng
㔱	yǔ
㔳	guǐ
㔴	yì
㔵	xuǎn
㔶	gòng gǎn
㔷	lòu
㔸	tī
㔹	lè
㔺	shì
㔼	sǔn
㔽	yào
㔾	xiān jié
㔿	zòu
㕁	què
㕂	yín qín
㕃	xī
㕄	zhǐ
㕅	jiá
㕆	hù
㕇	lā
㕈	yǐ
㕉	kè
㕊	fū
㕋	qín
㕌	ài
㕎	kè
㕏	chú
㕐	xiě xiè
㕑	chú
㕒	wēi
㕕	huàn
㕖	sù
㕗	yòu
㕙	jùn
㕚	zhǎo
㕛	xù
㕜	shǐ
㕞	shuā
㕟	kuì kuài
㕠	shuāng
㕡	hé
㕢	gài hài
㕣	yǎn
㕤	qiú
㕥	shēn
㕦	huà
㕧	xī
㕨	fàn
㕩	pàng
㕪	dǎn
㕫	fǎng fēng
㕬	gōng sòng
㕭	āo ào
㕮	fǔ
㕯	nè
㕰	xuè mɑ
㕱	yóu
㕲	huá yíng
㕴	chén
㕵	guó
㕶	ňg ň nǵ
㕷	huà pā
㕸	lì
㕹	fá
㕺	xiāo
㕻	pǒu
㕽	sì
㖀	lè
㖁	lìn
㖂	yì
㖃	hǒu hòu
㖅	xù
㖆	qú
㖇	ér
㖊	xún
㖏	niè
㖐	wěi
㖑	xiè
㖒	tí
㖓	hóng
㖔	tǔn
㖕	niè xīn
㖖	niè
㖗	yín
㖘	zhēn
㖞	wāi
㖟	shòu
㖠	nuò
㖡	yè
㖢	qí
㖣	tòu
㖤	hán
㖥	jùn
㖦	dǒng
㖧	hūn wěn
㖨	lù
㖩	jū sǒu
㖪	huò guó xù
㖫	líng
㖭	tiǎn
㖮	lún
㖵	gé
㖶	yān yè yīn
㖷	shí tí
㖸	xué niā
㖹	pēn fèn
㖺	chǔn
㖻	niú ròu
㖼	duǒ
㖽	zé
㖾	è
㖿	xié yé
㗀	yōu
㗁	è
㗂	shěng
㗃	wěn hūn
㗄	kū
㗅	hú
㗆	gé
㗇	xiá yɑ
㗈	màn
㗉	lüè è lvè
㗊	jí léi
㗋	hóu
㗌	zhì
㗏	wāi
㗑	bài
㗒	ài
㗓	zhuī
㗔	qiān
㗕	gòu gōu
㗖	dàn
㗗	bēi
㗘	bó
㗙	chū nà zhōu
㗚	lì
㗛	xiào
㗜	xiù
㗢	hóng dòng hòng
㗣	tì
㗤	cù
㗥	kuò guō
㗦	láo
㗧	zhì dié
㗨	xiē ǎi
㗩	xī
㗫	qiè
㗬	zhā
㗭	xī
㗰	cóng
㗱	jí
㗲	huò
㗳	tǎ dā
㗴	yán
㗵	xù
㗶	pō
㗷	sǎi
㗻	guō
㗼	yè
㗽	xiǎng
㗾	xuē
㗿	hé xià xiā
㘀	zuò
㘁	yì
㘂	cí
㘄	lēng
㘅	xián
㘆	tǎi
㘇	róng
㘈	yì nǐ
㘉	zhì
㘊	xī yì
㘋	xián
㘌	jù
㘍	jí
㘎	hǎn
㘐	pào
㘑	lì
㘓	lán
㘔	sǎi
㘕	hǎn lán
㘖	yán
㘗	qū
㘙	yán
㘚	hǎn
㘛	kān
㘜	chǐ
㘝	niè
㘞	huò
㘠	bì
㘡	xiá
㘢	wěng
㘣	xuán yuán
㘤	wān
㘥	yóu
㘦	qín
㘧	xù
㘨	niè
㘩	bì
㘪	hào
㘫	jǐng
㘬	ào wù
㘭	ào
㘰	zhēn
㘱	tān
㘲	jú
㘴	zuò
㘵	bù
㘶	jié
㘷	ài
㘸	zàng zuò
㘹	cí
㘺	fá
㘿	niè
㙀	liù jiù
㙁	méi mù
㙂	duì wèng
㙃	bāng
㙄	bì
㙅	bǎo
㙇	chù
㙈	xià
㙉	tiǎn
㙊	cháng zhàng
㙍	duō
㙎	wēi
㙏	fù
㙐	duǒ
㙑	yǔ
㙒	yě
㙓	kuí
㙔	wěi hán
㙕	kuài
㙗	wēi
㙘	yāo
㙙	lǒng
㙚	xīng
㙛	bǔ
㙜	chí
㙝	xié
㙞	niè
㙟	lǎng
㙠	yī yì
㙡	zōng
㙢	mán
㙣	zhàng
㙤	xià
㙥	gùn
㙦	xié
㙨	jì
㙩	liáo
㙪	yì
㙫	jí
㙬	yín
㙮	dā
㙯	yì
㙰	xiè
㙱	hào
㙲	yǒng
㙳	kǎn hǎn
㙴	chàn
㙵	tái
㙶	táng
㙷	zhí zhé
㙸	bào
㙹	méng
㙺	kuí guì
㙻	chán
㙼	lěi
㙾	xì
㚀	xī
㚁	qiào
㚂	nàng
㚃	yūn
㚅	lóng
㚆	fù
㚇	zōng
㚉	gǔ
㚊	kāi
㚋	diāo
㚌	huà
㚍	kuǐ kuì
㚏	gǎo
㚐	tào
㚒	shǎn
㚓	lǎi
㚔	niè xìng
㚕	fú
㚖	gǎo zé
㚗	qié
㚘	bàn hè fú
㚙	jiā
㚚	kōng kuāng
㚛	xì
㚜	yù xù
㚝	zhuī
㚞	shěn
㚟	chuò
㚠	xiāo
㚡	jǐ
㚢	nú wǔ
㚣	xiáo
㚤	yì
㚥	yú
㚦	yí
㚧	yǎn
㚨	shěn
㚩	rǎn
㚪	hào
㚫	sà
㚬	jūn
㚭	yóu
㚯	xín
㚰	pēi bǐ
㚱	qiū
㚲	chān diǎn diàn
㚴	bù
㚵	dōng
㚶	sì yí
㚷	ěr
㚹	mǎo liǔ
㚺	yùn
㚻	jī
㚽	qiǎo
㚾	xiōng
㚿	páo
㛀	chú
㛁	pēng
㛂	nuǒ
㛃	jié
㛄	yī
㛅	èr
㛆	duò duǒ
㛊	duǒ
㛍	qiè xiǎn xiá
㛎	lǚ
㛏	qiú
㛐	sǒu
㛑	càn
㛒	dòu
㛓	xī
㛔	fēng péng
㛕	yì è
㛖	suō
㛗	qiē zuō suō
㛘	pò
㛙	xīn qiè
㛚	tǒng yǒng
㛛	xìn
㛜	yóu
㛝	bèi
㛞	lòng
㛣	yún
㛤	lí
㛥	tà
㛦	lǎn
㛧	mǎn
㛨	qiǎng
㛩	zhóu
㛪	yàn yān
㛫	xī
㛬	lù
㛭	xī
㛮	sǎo
㛯	fàn miǎn zhuàn
㛱	wěi wēi
㛲	fà
㛳	yì
㛴	nǎo
㛵	chēng
㛶	tàn
㛷	jī
㛸	shù
㛹	pián
㛺	ān
㛻	kuā
㛼	chā shà
㛾	xián
㛿	zhì
㜂	fēng
㜃	liàn
㜄	xún
㜅	xù
㜆	mì
㜇	huì yè
㜈	mù
㜉	yōng
㜊	zhǎn
㜋	yì
㜌	nǒu gòu kòu
㜍	táng
㜎	xī xì
㜏	yún
㜐	shù
㜑	fú
㜒	yì
㜓	dá
㜕	lián
㜖	cáo
㜗	cān sēn
㜘	jù qù chá
㜙	lù
㜚	sù
㜛	nèn
㜜	ào
㜝	ǎn yǎn
㜞	qiàn cán
㜠	cuī
㜡	cōng
㜣	rán rǎn
㜤	niǎn tiǎn tán
㜥	mái
㜦	xín
㜧	yuè
㜨	nái
㜩	ào
㜪	shēn
㜫	mà
㜮	làn lán
㜯	xī
㜰	yuè
㜱	zhì
㜲	wěng
㜳	huái
㜴	mèng
㜵	niǎo
㜶	wǎn
㜷	mí xiǎn
㜸	niè
㜹	qú
㜺	zàn
㜻	liàn
㜼	zhí
㜽	zǐ
㜾	hái
㜿	xù
㝀	hào
㝁	xuān qióng
㝂	zhì zhè
㝃	miǎn
㝄	chún
㝅	gòu
㝇	chún
㝈	luán
㝉	zhù
㝊	shǒu
㝋	liǎo
㝌	jiù
㝍	xiě
㝎	dìng
㝏	jiè
㝐	róng
㝑	máng
㝓	kè
㝔	yǎo
㝕	níng
㝖	yí
㝗	láng lǎng
㝘	yóng
㝙	yín
㝚	yán
㝛	sù
㝝	lín
㝞	yā yà
㝟	máo
㝠	míng
㝡	zuì
㝢	yǔ
㝣	yì
㝤	gòu
㝥	mǐ
㝦	jùn
㝧	wěn
㝩	kāng
㝪	diàn
㝫	lóng
㝭	xǐng
㝮	cuì
㝯	qiáo
㝰	mián
㝱	mèng
㝲	qǐn
㝴	wán
㝵	dé ài
㝶	ài
㝸	biàn
㝹	nóu
㝺	lián
㝻	jǐn
㝼	yū
㝽	chuí
㝾	zuǒ
㝿	bǒ
㞀	huī
㞁	yào
㞂	tuǐ tuì
㞃	jì
㞄	ān
㞅	luò
㞆	jǐ
㞇	wěi
㞈	bō
㞉	zā
㞊	xù
㞋	niǎn jí
㞌	yùn
㞎	bǎ pā pá
㞏	zhé jié
㞐	jū
㞑	wěi
㞒	xiè xì
㞓	qì jī
㞔	yí
㞕	xiè
㞖	cí cì
㞗	qiú
㞘	dū
㞙	niào
㞚	qì zhǎ
㞛	jǐ
㞜	tuī
㞞	sóng
㞟	diàn dǐng
㞠	láo
㞡	zhǎn
㞤	yín cén
㞥	cén
㞦	jǐ
㞧	huì
㞨	zǐ
㞩	lán
㞪	náo
㞫	jù
㞬	qìn
㞭	dài
㞯	jié
㞰	xǔ
㞱	cōng
㞲	yòng
㞳	dǒu
㞴	chí mín
㞶	mǐn
㞷	huáng
㞸	suì
㞹	kě
㞺	zú
㞻	hào
㞼	chéng
㞽	xuè
㞾	ní
㞿	chì
㟀	lián
㟁	àn
㟂	mǔ
㟃	sī
㟄	xiáng
㟅	yáng
㟆	huá
㟇	cuò cuó
㟈	qiú
㟉	láo
㟊	fú
㟋	duì
㟌	máng
㟍	láng lǎng
㟎	tuǒ tuǐ
㟏	hán
㟐	mǎng
㟑	bó
㟒	qūn
㟓	qí
㟔	hán
㟖	lòng lóng
㟘	tiáo
㟙	zé
㟚	qí
㟛	zàn
㟜	mí
㟝	péi
㟞	zhàn
㟟	xiàng
㟠	gǎng
㟢	qí
㟤	lù
㟦	yùn
㟧	è
㟨	duān
㟩	mín
㟪	wēi wěi
㟫	quán
㟬	sǒu
㟭	mín
㟮	tū
㟰	mǐng
㟱	yǎo
㟲	jué
㟳	lì
㟴	kuài
㟵	gǎng
㟶	yuán
㟷	dá
㟹	láo
㟺	lóu
㟻	qiàn zhǎn
㟼	áo
㟽	biǎo biāo
㟾	yōng
㟿	mǎng máng
㠀	dǎo
㠂	áo
㠄	xí
㠅	fú fù
㠆	dān
㠇	jiù
㠈	rùn
㠉	tóng
㠊	qū
㠋	è
㠌	qī
㠍	jí
㠎	jí jié
㠏	huá
㠐	jiào
㠑	zuì
㠒	biǎo
㠓	méng
㠔	bài
㠕	wěi
㠖	yǐ
㠗	ào
㠘	yǔ
㠙	háo
㠚	duì
㠛	wò
㠜	nì
㠝	cuán
㠟	lí
㠠	lú
㠡	niǎo
㠢	huái
㠣	lì
㠥	lǜ léi lěi
㠦	fēng
㠧	mǐ
㠨	yù
㠪	jù
㠭	zhǎn
㠮	pēng gāng
㠯	yǐ
㠱	jì qǐ
㠲	bǐ
㠴	rèn
㠵	huāng
㠶	fán
㠷	gé
㠸	kù
㠹	jiè
㠺	shā miáo
㠼	sī
㠽	tóng
㠾	yuān
㠿	zī cǐ
㡀	bì
㡁	kuǎ
㡂	lì
㡃	huāng
㡄	xún
㡅	nuǒ
㡇	zhé jiē
㡈	wèn mén miǎn
㡉	xián
㡊	qià
㡋	yé ān
㡌	mào
㡏	shù xū tóu shū
㡑	jiǎo qiāo
㡒	zhūn
㡓	kūn
㡔	wù
㡕	yīng
㡖	chuáng
㡗	tí
㡘	lián lín
㡙	bī
㡚	gōu
㡛	máng
㡜	xiè xuě
㡝	fèng
㡞	lóu lǚ
㡟	zāo
㡠	zhèng
㡡	chú
㡢	màn
㡣	lóng
㡥	yìn
㡦	pīn
㡧	zhèng
㡨	jiān qiān
㡩	luán
㡪	nié
㡫	yì
㡭	jì
㡮	jí
㡯	zhái dù duó
㡰	yǔ
㡱	jiǔ
㡲	huán
㡳	zhǐ
㡴	lā
㡵	líng
㡶	zhǐ
㡷	běn
㡸	zhà zhǎ chá
㡹	jū
㡺	dàn
㡻	liào
㡼	yì
㡽	zhào
㡾	xiàn
㡿	chì
㢀	cì
㢁	chǐ shǐ
㢂	yǎn tuí duī
㢃	láng
㢄	dòu
㢅	lòng
㢆	chán
㢈	tuí duī
㢉	chá
㢊	ǎi yǐ
㢋	chǐ
㢍	yǐng
㢎	zhé
㢏	tóu yǔ yú
㢑	tuí
㢒	chá
㢓	yǎo
㢔	zǒng
㢖	pān bān
㢗	qiào
㢘	lián
㢙	qín
㢚	lǔ
㢛	yàn qiān
㢜	kàng
㢝	sū
㢞	yì
㢟	chān
㢠	jiǒng
㢡	jiǎng
㢣	jìng
㢥	dòng
㢧	juàn
㢨	hàn
㢩	dì
㢬	hóng
㢮	chí
㢯	diāo mín
㢰	bì
㢲	xùn
㢳	lú
㢵	xié shè
㢶	bì
㢸	bì
㢺	xián
㢻	ruì
㢼	biè
㢽	ěr
㢾	juàn
㣀	zhèn
㣁	bèi
㣂	è
㣃	yǔ
㣄	qú
㣅	zàn
㣆	mí
㣇	yì
㣈	sì
㣌	shàn
㣍	tái
㣎	mù
㣏	jìng
㣐	biàn
㣑	róng
㣒	cèng
㣓	càn
㣔	dīng
㣙	dí zhòu
㣚	tǒng tóng dòng
㣛	tà huì
㣜	xíng
㣝	sōng
㣞	duó
㣟	xì
㣠	tāo tóng
㣢	tí
㣣	shàn
㣤	jiàn
㣥	zhì
㣦	wēi
㣧	yìn
㣪	huǎn
㣫	zhǒng dòng
㣬	qì
㣭	zōng
㣯	xiè
㣰	xiè
㣱	zé
㣲	wéi
㣵	tà
㣶	zhān
㣷	nìng
㣻	yì
㣼	rěn
㣽	shù nù
㣾	chà
㣿	zhuó diǎo
㤁	miǎn
㤂	jí
㤃	fáng
㤄	pèi
㤅	ài xì jì
㤆	fàn
㤇	ǎo
㤈	qìn
㤉	qiā yà
㤊	xiào
㤋	fēn
㤌	gān
㤍	qiāo qiǎo
㤎	gē
㤏	tóng
㤐	chān
㤑	yòu
㤒	gāo
㤓	bèn
㤔	fù
㤕	chù pò
㤖	zhù
㤘	zhòu
㤚	háng
㤛	nín
㤜	jué
㤝	chōng
㤞	chà duó zé
㤟	kǒng
㤠	liè
㤡	lì liè
㤢	yù
㤤	yú
㤥	hài
㤦	lì
㤧	hóu
㤨	gǒng
㤩	kè
㤪	yuàn
㤫	dé
㤬	huì
㤮	guàng
㤯	jiǒng
㤰	zuò
㤱	fù dòu
㤲	qiè
㤳	běi
㤴	chè shè dié
㤵	cí
㤶	máng màng
㤷	hān
㤸	xì
㤹	qiú jiù
㤺	huǎng
㤽	chóu
㤾	sàn
㤿	yān
㥀	zhí dé
㥁	dé
㥂	tè
㥃	mèn
㥄	líng
㥅	shòu
㥆	tuì
㥇	cán
㥈	dié
㥉	chè
㥊	péng pēng
㥋	yī
㥌	jú
㥍	jì
㥎	lái
㥏	tiǎn
㥐	yuàn
㥒	cǎi cāi
㥓	qī
㥔	yù
㥕	lián
㥖	cōng
㥚	yú yǔ
㥛	jí kè
㥜	wèi
㥝	mǐ
㥞	suì
㥟	xié
㥠	xū
㥡	chì
㥢	qiú jiū
㥣	huì
㥥	yú
㥦	qiè
㥧	shùn
㥨	shuì wěi
㥩	duǒ
㥪	lóu
㥬	páng
㥭	tài
㥮	zhòu chǎo
㥯	yǐn
㥰	sāo
㥱	fěi
㥲	chēn shèn
㥳	yuán
㥴	yí tí
㥵	hùn
㥶	sè qiān
㥷	yè
㥸	mǐn
㥹	fěn
㥺	hé
㥼	yìn yān
㥽	cè zé
㥾	nì
㥿	ào
㦀	féng
㦁	lián liǎn
㦂	cháng
㦃	chǎn
㦄	má
㦅	diē dì chài
㦆	hū xiā
㦇	lù
㦉	yì
㦊	huá
㦋	zhā
㦌	hū xù
㦍	è
㦎	huò
㦏	sǔn xuàn
㦐	nì
㦑	xiàn hān
㦒	lí
㦓	xiàn rǎn
㦔	yàn
㦕	lóng
㦖	mèn
㦗	jīn jìn
㦘	jī
㦚	biǎn
㦛	yǔ yú
㦜	huò xuè
㦝	miǎo
㦞	chóu
㦟	mái
㦡	lè
㦢	jié
㦣	wèi
㦤	yì
㦥	xuān xiǎn
㦦	xì
㦧	cǎn
㦨	lán
㦩	yǐn
㦪	xiè
㦫	zā
㦬	luǒ
㦭	líng
㦮	qián
㦯	huò
㦰	jiān
㦱	wǒ
㦴	gé
㦵	zhū
㦶	dié yǒng
㦷	yǒng
㦸	jǐ
㦹	yáng
㦺	rù
㦻	xí
㦼	shuàng
㦽	yù
㦾	yí
㦿	qiǎn hù
㧀	jí
㧁	qù hé
㧂	tián
㧃	shōu jiū
㧄	qiǎn
㧅	mù dāo
㧆	jīn
㧇	mǎo
㧈	yǐn
㧉	gài hài yè
㧊	pō bá
㧋	xuǎn
㧌	mào
㧍	fǎng bēng
㧎	yá yà qiā
㧏	gāng
㧐	sǒng
㧑	huī
㧒	yù
㧓	guā
㧔	guài
㧕	liǔ
㧖	è
㧗	zǐ jǐ zhǐ
㧘	zì
㧙	bì bié
㧚	wǎ
㧜	liè
㧟	kuǎi
㧡	hài wèi
㧢	yīn
㧣	zhū
㧤	chòng
㧥	xiǎn
㧦	xuàn hōng
㧨	qiú
㧩	pèi
㧪	guǐ wěi
㧫	ér ruán ruí
㧬	gǒng
㧭	qióng
㧮	hū
㧯	lǎo
㧰	lì
㧱	chèn
㧲	sǎn
㧳	zhuò bāi
㧴	wǒ é
㧵	póu
㧶	kēng
㧷	tùn
㧸	pēng
㧹	tè
㧺	tà
㧻	zhuó zú dū
㧼	biào
㧽	gù
㧾	hū
㨀	bǐng
㨁	zhì zhí
㨂	dǒng
㨃	duǐ chéng
㨄	zhào tiáo zhōu
㨅	nèi ruì
㨆	lǐn
㨇	pó
㨈	jǐ
㨉	mín wěn
㨊	wěi tuǒ duò
㨋	chě
㨌	gòu
㨍	bāng
㨎	rú
㨏	tān
㨐	bǔ
㨑	zōng
㨒	kuī
㨓	láo
㨔	hàn
㨕	yíng
㨖	zhì
㨗	jié
㨘	xǐng
㨙	xié xì
㨚	xún sǔn
㨛	shǎn shàn
㨜	qián
㨝	xiē
㨞	sù
㨟	hāi
㨠	mì
㨡	hún
㨢	pī
㨤	huì
㨥	nà
㨦	sǒng
㨧	bèn
㨨	chōu liù
㨩	jié
㨪	huàng huǎng
㨫	lǎn
㨭	hù
㨮	dōu
㨯	huò
㨰	gǔn
㨱	yáo
㨲	cè
㨳	guǐ jì
㨴	jiàn
㨵	jiǎn
㨶	dǎo
㨷	jìn
㨸	mà
㨹	huì xuě
㨺	miǎn mén
㨻	cán shǎn zàn chàn
㨼	lüè lvè
㨽	pì
㨾	yàng
㨿	jù
㩀	jù
㩁	què
㩃	qiān
㩄	shāi
㩆	jiù zú
㩇	huò zuó huá
㩈	yǔn
㩉	dá lā xī xié
㩊	xuān
㩋	sù xiāo
㩌	fèi
㩍	cè
㩎	yè
㩐	dèn
㩒	qín
㩓	huǐ
㩔	tún
㩖	qiáng
㩗	xí
㩘	nǐ
㩙	sāi
㩚	méng
㩛	tuán
㩜	lǎn
㩝	háo
㩞	cì
㩟	zhài
㩠	āo piǎo póu
㩡	luǒ
㩢	miè mì
㩤	fū
㩦	xié xī
㩧	bó
㩨	huì
㩩	qǐng
㩪	xié
㩭	bó
㩮	qián
㩯	pó
㩰	jiǎo
㩱	jué
㩲	kǔn
㩳	sǒng
㩴	jú qú
㩵	è
㩶	niè
㩷	qiān
㩸	dié
㩹	dié
㩻	qī guì guǐ
㩼	zhī
㩽	qí chì è
㩾	zhuì qí
㩿	kū
㪀	yú
㪁	qín kān qiàn qián
㪂	kū
㪃	hé
㪄	fú
㪆	dǐ
㪇	xiàn
㪈	guì
㪉	hé
㪊	qún
㪋	hàn hě
㪌	tǒng
㪍	bó bèi
㪎	shǎn nà
㪏	bǐ
㪐	lù
㪑	yè
㪒	ní
㪓	chuái
㪔	sàn
㪕	diào chuò
㪖	lù
㪗	tǒu
㪘	liǎn
㪙	kě
㪚	sàn
㪛	zhěn
㪜	chuǎi duǒ
㪝	liàn
㪞	mào
㪠	qiān qiàn jiān
㪡	kài kě
㪢	shǎo
㪣	xiāo qiāo
㪤	bì
㪥	zhā
㪦	yìn
㪧	xī
㪨	shàn
㪩	sù
㪪	sà
㪫	ruì
㪬	chuō zhuó
㪭	lú
㪮	líng
㪯	chá
㪱	huàn
㪴	jiá
㪵	bàn
㪶	hú
㪷	dǒu
㪹	lǒu
㪺	jū
㪻	juàn
㪼	kě
㪽	suǒ
㪾	luò gé
㪿	zhé
㫀	dǐng
㫁	duàn
㫂	zhù
㫃	yǎn
㫄	páng
㫅	chá
㫊	yǐ ě
㫍	yóu yǎo
㫎	huī gǔn
㫏	yǎo
㫐	yǎo
㫑	zhǐ shí
㫒	gǒng
㫓	qǐ
㫔	gèn
㫗	hòu
㫘	mì
㫙	fú
㫚	hū
㫛	guàng
㫜	tǎn
㫝	dī
㫟	yán
㫢	qù
㫤	chǎng
㫥	mǐng
㫦	tāo
㫧	bào
㫨	ān
㫫	xiǎn
㫯	mào
㫰	lǎng làng
㫱	nǎn nàn
㫲	bèi
㫳	chén
㫵	fēi
㫶	zhǒu
㫷	jī
㫸	jiē
㫹	shù
㫻	kùn
㫼	dié
㫽	lù
㬂	yú
㬃	tái
㬄	chàn
㬅	màn
㬆	mǐn
㬇	huàn
㬈	wēn
㬉	nuǎn
㬊	huǎn huàn
㬋	hóu
㬌	jìng
㬍	bó
㬎	xiǎn
㬏	lì
㬐	jìn zī
㬒	mǎng
㬓	piào
㬔	háo
㬕	yáng
㬗	xiàn
㬘	sù
㬙	wěi
㬚	chè
㬛	xī
㬜	jìn
㬝	céng sōng
㬞	hè
㬟	fēn
㬠	shài shà
㬡	líng
㬣	duì
㬤	qī
㬥	pù bó
㬦	yuè
㬧	bó
㬩	huì
㬪	dié
㬫	yàn
㬬	jù
㬭	jiào
㬮	nàn
㬯	liè
㬰	yú
㬱	tì
㬲	tiān
㬳	wǔ
㬴	hǒng
㬵	xiáo
㬶	hào
㬸	tiāo
㬹	zhēng
㬻	huāng hāng huǎng
㬼	fù
㬿	tūn
㭁	réng
㭂	jiǎo
㭄	xìn
㭇	yuàn
㭈	jué
㭉	huá
㭋	bàng
㭌	móu
㭎	gāng
㭏	wěi
㭑	mèi
㭒	sì
㭓	biàn
㭔	lú
㭕	qū
㭘	gé hé
㭙	zhé
㭚	lǚ
㭛	pài bà
㭜	róng
㭝	qiú òu
㭞	liè
㭟	gǒng
㭠	xiǎn
㭡	xì xìn
㭢	xīn
㭤	niǎo
㭨	xié
㭩	liè
㭪	fū
㭫	cuó cuán
㭬	zhuó
㭭	bā bèi biē
㭮	zuò zǎn
㭯	zhé dié
㭰	zuī zuǐ
㭱	hé
㭲	jí
㭴	jiān
㭸	tú
㭹	xián
㭺	yǎn yàn ān
㭻	táng
㭼	tà
㭽	dǐ
㭾	jué
㭿	áng
㮀	hán
㮁	xiáo
㮂	jú
㮃	wēi ruí
㮄	bǎng
㮅	zhuī
㮆	niè
㮇	tiàn
㮈	nài
㮋	yǒu
㮌	mián
㮏	nà nài nì
㮐	shěng sì
㮑	chā qì
㮒	yān yīn
㮓	gèn
㮔	chòng tóng
㮕	ruǎn
㮖	jiá
㮗	qín
㮘	máo
㮙	è
㮚	lì
㮛	chí yí
㮜	zāng
㮝	hé
㮞	jié
㮟	niǎn kā
㮡	guàn
㮢	hóu
㮣	gài
㮥	bèn fàn
㮦	suǒ sè
㮧	wū wēn
㮨	jì
㮩	xī
㮪	qióng
㮫	hé xiá qià
㮬	wēng
㮭	xián
㮮	jié
㮯	hún huá
㮰	pí
㮱	shēn
㮲	chōu
㮳	zhèn
㮵	zhān
㮶	shuò
㮷	jī
㮸	sòng
㮹	zhǐ
㮺	běn
㮾	lǎng
㮿	bì
㯀	xuàn
㯁	péi
㯂	dài
㯄	zhī
㯅	pí bī
㯆	chǎn shàn
㯇	bì
㯈	sù
㯉	huò
㯊	hén
㯋	jiǒng yǐng
㯌	chuán
㯍	jiǎng
㯎	nèn
㯏	gǔ
㯐	fǎng
㯓	tà dá
㯔	cuì
㯕	xī
㯖	dé
㯗	xián
㯘	kuǎn
㯙	zhé
㯚	tā
㯛	hú
㯜	cuì
㯝	lù
㯞	juàn
㯟	lù
㯠	qiàn
㯡	pào páo
㯢	zhèn
㯤	lì
